date,vacuum_truck_number,unit,vacuum_truck_movement_description,vacuum_truck_material_description,offload_sitewaste_destination,controlled_yes_no,destination_benzene_control_description,,,total_waste_quantity_bbls,,vac_truck_log_water_content
09/09/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4516 ,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,300,,<10%
09/09/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/09/2013,,,,,,,,,,,,
09/09/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,56,,99%
09/09/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,18,,99%
09/09/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - MAIN GATE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,99%
09/09/2013,LV-2,PLANT 1 - STORMWATER,NELSON BUILDING,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/10/2013,LV-1,PLANT 2 - UNIT 003 - #2 POLYMERIZATION,PLANT 2 - JOHNSONS RESERVOIR ,STORMWATER,PLANT 2 - LOWER API,,,,,418,,99%
09/10/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1N - by Tank 30,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/10/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,NELSON BUILDING,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/10/2013,LV-1,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 2007 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 52 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - SEWER OMD 1 WEST SIDE,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/10/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - P314 T52 DRAIN / WATER WASH,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,>90%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/10/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-3924 CONTAINMENT - STORMWATER/WATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,99%
09/10/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/10/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - ETHANOL DRUMS,ETHANOL,PLANT 1 - VAC PAD,,VAC PAD,,,1,,<10%
09/10/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/10/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,40,,>90%
09/10/2013,LV-2,PLANT 2 - STORMWATER,PLANT 2 - SEWER BAY 1 ,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/10/2013,LV-2,PLANT 2 - STORMWATER,PLANT 2 - CRUDE DOCKS SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/11/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,13,,<10%
09/11/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,8,,<10%
09/11/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,9,,<10%
09/11/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank 29(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,3,,<10%
09/11/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank WBTR -14(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,3,,<10%
09/11/2013,307162,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank WBTR - 05(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,3,,<10%
09/11/2013,307162,PLANT 1 -  BY LABORATORY,PLANT 1 GROUNWATER RECOVERY TANKS - SAND CREEK. GWTR-TANK-10,SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,4,,<10%
09/11/2013,LV-1,PLANT 2 - UNIT 003 - #2 POLYMERIZATION,PLANT 2 - JOHNSONS RESERVOIR ,STORMWATER,PLANT 2 - LOWER API,,,,,560,,99%
09/11/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/11/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/11/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/11/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE DOCKS SUMP,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/11/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2  - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,99%
09/11/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 57 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,3,,99%
09/11/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/11/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/11/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,6,,>90%
09/11/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,>90%
09/11/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,>90%
09/11/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),"SECONDARY CONTAINTMENTS FROM TANKS-4514, 4515 4516 4517 4518 AND ENVIRONMENTALS COUSTIC TK.",STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/11/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - SAMPLE POINTS - ENVIRONMENTAL,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,8,,99%
09/11/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,130,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,8,,99%
