,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
2013 TAB Data Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)1","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference3,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference3,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)4","Total Waste Quantity 
(Mg/yr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/yr)","Benzene Quantity NO Double Counts
(Mg/yr)",6BQ Quantity (Mg/yr),Notes,Aqueous Flow (Total Gallons)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2014,307164,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,60,"2,520",>90%,90.0%,1.,4.42,"Spider Sump, Aqueous Layer",NO,"8,578",0.04,10%,0.8,"2,152.08","Spider Sump, Oil Layer",NO,763,1.64,YES,9.34,179.73,<0.001,<0.001,-,,
01/03/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,monitor wells,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,20,840,99%,99.0%,1.,1.59,All Groundwater,YES,"3,145",<0.01,1%,0.78,"5,350.",Remediation Oil,YES,25,0.13,YES,3.17,43.45,<0.001,<0.001,-,,
01/03/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,20,840,>90%,90.0%,1.,1.59,All Groundwater,YES,"2,859",<0.01,10%,0.78,"5,350.",Remediation Oil,YES,248,1.33,YES,3.11,428.65,<0.001,<0.001,-,,
01/03/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,mini trench,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,15,630,99%,99.0%,1.,-0-,Stormwater,NO,"2,359",-0-,1%,0.85,0.03,Stormwater,NO,20,<0.01,YES,2.38,<0.001,<0.001,<0.001,<0.001,,
01/03/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,35,"1,470",>90%,90.0%,1.,1.59,All Groundwater,YES,"5,004",<0.01,10%,0.78,"5,350.",Remediation Oil,YES,434,2.32,YES,5.44,428.65,<0.001,<0.001,-,,
01/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - SURGE BASIN,SOLIDS AND WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,60,"2,520",>90%,99.0%,1.,0.42,Sludge,NO,"9,436",<0.01,1%,0.96,42.,Sludge,NO,92,<0.01,YES,9.53,0.82,<0.001,<0.001,<0.001,,
01/04/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,monitor wells,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,40,"1,680",99%,99.0%,1.,1.59,All Groundwater,YES,"6,291",0.01,1%,0.78,"5,350.",Remediation Oil,YES,50,0.27,YES,6.34,43.45,<0.001,<0.001,-,,
01/04/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,sump 3,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,10,420,99%,90.0%,1.,1.59,All Groundwater,YES,"1,430",<0.01,10%,0.78,"5,350.",Remediation Oil,YES,124,0.66,YES,1.55,428.65,<0.001,<0.001,-,,
01/04/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,10,420,>90%,90.0%,1.,1.59,All Groundwater,YES,"1,430",<0.01,10%,0.78,"5,350.",Remediation Oil,YES,124,0.66,YES,1.55,428.65,<0.001,<0.001,-,,
01/04/2014,307162,PLANT 1 - NORTH OF THE FENCELINE,PLANT 1 - NORTH OF THE FENCELINE,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,20,840,>90%,90.0%,1.,1.59,All Groundwater,YES,"2,859",<0.01,10%,0.78,"5,350.",Remediation Oil,YES,248,1.33,YES,3.11,428.65,<0.001,<0.001,-,,
