,,,,Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,"1.  Manually sum denver truck terminal, T-101, and T-29 oil on this spreadsheet (make sure ""double count"" is ""NO""); input water %, and 6BQ  to the Summary tab; input total waste quantity on Flows tab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,"2.  Change ""double count"" to YES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,"3.  Manually sum TK-4516 and TK-60 slop movements that do NOT go to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"4.  Manually sum movements to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW).",,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
07/04/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,5,210,99%,99.0%,1.,0.01,Prooper Pit,YES,786,<0.01,1%,0.85,0.63,Prooper Pit,NO,7,<0.01,YES,0.79,0.02,<0.001,<0.001,<0.001,
07/04/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,7,294,99%,90.0%,1.,3.52,TK-60 Equalization Tank Aqueous,NO,"1,001",<0.01,10%,0.85,"1,230.",TK-60 Equalization Tank,NO,95,0.12,YES,1.1,109.36,<0.001,<0.001,-,
07/04/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4508 - DGF,SLUDGE,PLANT 1 - STORAGE FRAC TANKS BY FLARE,YES,Frac Tanks by Flare,NO,NO,57,"2,394",<10%,10.0%,1.,3.95,TK-4507 Waste Water Tank,YES,905,<0.01,90%,0.85,573.33,TK-4507 Waste Water Tank,NO,"6,927",3.97,YES,7.83,507.51,<0.001,<0.001,-,
07/04/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,PLANT 1 - SURGE BASIN,SOLIDS AND WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,12,504,99%,99.0%,1.,0.42,Sludge,NO,"1,887",<0.01,1%,0.96,42.,Sludge,NO,18,<0.01,YES,1.91,0.82,<0.001,<0.001,<0.001,
07/04/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,PLANT 1 - SURGE BASIN SUMP,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,35,"1,470",99%,99.0%,1.,1.57,All Groundwater,YES,"5,504",<0.01,1%,0.78,"5,350.",Remediation Oil,YES,43,0.23,YES,5.55,43.43,<0.001,<0.001,<0.001,
07/04/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,40,"1,680",>90%,95.5%,1.,24.,Crude,NO,"6,068",0.15,5%,0.79,"2,400.",Crude,NO,226,0.54,YES,6.29,109.27,<0.001,<0.001,-,
07/04/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,tk 30 barrel,OILY WATER,PLANT 1 - VAC PAD,yes,VAC PAD,NO,NO,1,42,>90%,90.0%,1.,0.02,diesel,NO,143,<0.01,10%,0.86,2.,diesel,NO,14,<0.01,YES,0.16,0.19,<0.001,<0.001,-,
07/04/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 38 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,1,42,>90%,95.5%,1.,24.,Crude,NO,152,<0.01,5%,0.79,"2,400.",Crude,NO,6,0.01,YES,0.16,109.27,<0.001,<0.001,-,
07/04/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 26 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,53,"2,226",>90%,95.5%,1.,24.,Crude,NO,"8,041",0.19,5%,0.79,"2,400.",Crude,NO,299,0.72,YES,8.34,109.27,<0.001,<0.001,-,
07/04/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 10 - SAMPLE MATERIAL,sample gasoline,PLANT 1 - VAC PAD,yes,VAC PAD,NO,NO,1,42,>90%,90.0%,1.,360.,Gasoline,NO,143,0.05,10%,0.77,"36,000.",Gasoline,NO,12,0.44,YES,0.16,"3,168.88",<0.001,<0.001,-,
