C,D,E,F,G,H,I,Q,R,X,Y
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-WASTEOILDRUMS,PLANT1-WASTEOILDRUMS,OIL,PLANT1-VACPAD,NO,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,NO,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,NO,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-DRUMD-385WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,NO,TO,NO,Diesel,NO,Diesel,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-REDDYECONTAINMENT,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,""
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-3RDLAGOON,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,NO,VAC PAD,NO,Fourth Lagoon,NO,Fourth Lagoon,NO
,,,,YES,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,NO,NA,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
,,,,NO,NA,NO,Fourth Lagoon,YES,Fourth Lagoon,NO
,,,,NO,VAC PAD,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
PLANT2-WASTEOILDRUMS,PLANT2-WASTEOILDRUMS,OIL,PLANT1-VACPAD,NO,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,YES,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,NO,VAC PAD,NO,Tank 20 Water Draw,NO,Slop Oil Tank 20,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-PROOPERPIT,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Prooper Pit,YES,Prooper Pit,NO
,,,,YES,VAC PAD,NO,Prooper Pit,YES,Prooper Pit,NO
